Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.007128,0.005292,1.00715396,0.996760462,1.017656,0.115944,0.046890,1.011661843,1.002406751,1.021002,-0.001721,0.000627,0.978214017,0.962942294,0.993728,-0.000220,0.000672,0.998573353,0.990062695,1.007157
Female,0.005835,0.006626,1.005851761,0.992874189,1.018999,0.110170,0.058594,1.011077876,0.999532641,1.022756,-0.001341,0.000788,0.982976229,0.963737155,1.002599,-0.000613,0.000841,0.996022073,0.985409009,1.006749
Male,0.009030,0.007933,1.009070643,0.993502516,1.024883,0.124510,0.070521,1.012528861,0.998629893,1.026621,-0.002290,0.000936,0.97111867,0.948579279,0.994194,0.000365,0.001007,1.002373461,0.989596628,1.015315
Warm All,0.008257,0.005007,1.008291227,0.998444093,1.018235,0.173652,0.058646,1.017516808,1.005887711,1.029280,-0.001215,0.000577,0.984566968,0.970410985,0.998929,0.000005,0.000716,1.000033562,0.990948361,1.009202
Warm Female,0.011081,0.006241,1.011142143,0.998847916,1.023588,0.165933,0.073161,1.016731746,1.002256349,1.031416,-0.000580,0.000723,0.99260691,0.974763629,1.010777,0.000352,0.000890,1.002292022,0.990987937,1.013725
Warm Male,0.003813,0.007646,1.003820742,0.988889324,1.018978,0.185334,0.089548,1.018706223,1.00098253,1.036744,-0.002174,0.000876,0.972550757,0.951420351,0.994150,-0.000553,0.001098,0.996410381,0.98256291,1.010453
Cold All,0.006031,0.005685,1.006049484,0.994901021,1.017323,0.091800,0.039987,1.009222216,1.001343328,1.017163,-0.002942,0.000703,0.963040954,0.94619395,0.980188,-0.000422,0.000638,0.997260792,0.989184583,1.005403
Cold Female,-0.000679,0.007170,0.999321628,0.985376643,1.013464,0.083241,0.050120,1.008358811,0.99850167,1.018313,-0.002688,0.000888,0.96618134,0.944895489,0.987947,-0.001461,0.000806,0.990551261,0.980437661,1.000769
Cold Male,0.016024,0.008328,1.016152587,0.999700083,1.032876,0.105916,0.059164,1.01064788,0.998996034,1.022436,-0.003336,0.001031,0.958195563,0.9337185,0.983314,0.001113,0.000933,1.007263625,0.995357493,1.019312
Age 0-10 All,-0.022839,0.028142,0.977419464,0.924966681,1.032847,-0.221598,0.255005,0.978083935,0.930400005,1.028212,0.000761,0.003250,1.009791722,0.930725831,1.095574,-0.006682,0.003648,0.957497787,0.91401562,1.003049
Age 0-10 Female,-0.026654,0.038315,0.973698375,0.903253582,1.049637,-0.417882,0.359987,0.959072872,0.893735335,1.029187,-0.001842,0.004413,0.97669803,0.874330509,1.091051,-0.004290,0.004897,0.972497777,0.913678769,1.035103
Age 0-10 Male,-0.018591,0.036455,0.981580698,0.913891863,1.054283,-0.071985,0.320828,0.992827386,0.932318579,1.057263,0.002998,0.004221,1.03911756,0.934700182,1.155200,-0.008702,0.004780,0.945006413,0.889174831,1.004344
Age 11-60 All,0.009634,0.006143,1.009680807,0.997595924,1.021912,0.081510,0.054515,1.008184292,0.99746923,1.019014,-0.001297,0.000727,0.983529379,0.965757871,1.001628,0.000620,0.000779,1.004038466,0.994120705,1.014055
Age 11-60 Female,0.007311,0.007808,1.007337425,0.992037986,1.022873,0.044432,0.069024,1.004453057,0.99095562,1.018134,-0.000743,0.000926,0.990532548,0.967779897,1.013820,0.000002,0.000990,1.000013914,0.987479601,1.012707
Age 11-60 Male,0.013372,0.009693,1.013461942,0.994389141,1.032901,0.143185,0.086543,1.014421473,0.997359469,1.031775,-0.002195,0.001142,0.972299801,0.944843014,1.000554,0.001612,0.001229,1.010533362,0.994829145,1.026485
Age 60+All,0.004543,0.009103,1.004553373,0.986790112,1.022636,0.219538,0.080318,1.022196554,1.006230805,1.038416,-0.002899,0.001087,0.963571244,0.937646829,0.990212,-0.001455,0.001155,0.990584223,0.976111893,1.005271
Age 60+ Female,0.004993,0.011947,1.005005918,0.981745586,1.028817,0.299064,0.105402,1.030358092,1.009290586,1.051865,-0.002714,0.001434,0.965859789,0.931730037,1.001240,-0.001769,0.001519,0.988568537,0.969617385,1.007890
Age 60+ Male,0.003978,0.013584,1.003985449,0.977608156,1.031074,0.111669,0.120017,1.011229472,0.987719682,1.035299,-0.003126,0.001614,0.960778617,0.922654062,1.000478,-0.001025,0.001719,0.993356733,0.971833395,1.015357
All: LAG 1,0.000694,0.005315,1.000693754,0.990323236,1.011173,0.074220,0.046988,1.007449588,0.998214012,1.016771,-0.001449,0.000631,0.981617823,0.966210828,0.997270,0.000013,0.000669,1.000083102,0.991590273,1.008649
Female,0.005838,0.006651,1.005854636,0.992828213,1.019052,0.101338,0.058605,1.010185313,0.998648152,1.021856,-0.001308,0.000793,0.983398468,0.964032739,1.003153,0.000588,0.000836,1.003827168,0.993192238,1.014576
Male,-0.007070,0.007951,0.992955082,0.977600011,1.008551,0.032213,0.070666,1.003226449,0.989427084,1.017218,-0.001645,0.000938,0.97916625,0.956394804,1.002480,-0.000871,0.001005,0.994356668,0.981712135,1.007164
Warm All,-0.001959,0.005015,0.998043164,0.988280509,1.007902,0.108376,0.058510,1.010896534,0.999369888,1.022556,-0.001046,0.000580,0.98670057,0.972439671,1.001171,-0.000783,0.000712,0.994924545,0.985942282,1.003989
Warm Female,0.007468,0.006264,1.007495618,0.995201022,1.019942,0.170990,0.072941,1.017246022,1.002806413,1.031894,-0.000141,0.000728,0.998198365,0.980131462,1.016598,0.000465,0.000887,1.003024405,0.991758646,1.014418
Warm Male,-0.016334,0.007633,0.98379879,0.969190458,0.998627,0.012157,0.089373,1.001216486,0.983830751,1.018909,-0.002385,0.000878,0.969936884,0.948800756,0.991544,-0.002726,0.001089,0.982438898,0.968905781,0.996161
Cold All,0.002665,0.005732,1.002668273,0.991465707,1.013997,0.060492,0.040184,1.006067503,0.998174737,1.014023,-0.002303,0.000707,0.970953745,0.953883584,0.988329,0.000444,0.000638,1.002892305,0.994774792,1.011076
Cold Female,0.001454,0.007184,1.001455515,0.987452993,1.015657,0.071424,0.050094,1.007167963,0.99732746,1.017106,-0.003290,0.000889,0.958756801,0.937618997,0.980371,0.000387,0.000798,1.002515701,0.992372862,1.012762
Cold Male,0.004459,0.008418,1.004468622,0.988030627,1.021180,0.043657,0.059490,1.004375222,0.992732188,1.016155,-0.000855,0.001035,0.989117731,0.963770268,1.015132,0.000531,0.000939,1.003457782,0.991523329,1.015536
Age 0-10 All,-0.000572,0.028085,0.999428143,0.945899294,1.055986,-0.064818,0.252476,0.993539208,0.94557028,1.043942,0.001166,0.003233,1.015037575,0.935960278,1.100796,0.000290,0.003614,1.001888378,0.956801077,1.049100
Age 0-10 Female,-0.014091,0.038479,0.986008277,0.91438002,1.063248,0.046293,0.353465,1.004640021,0.93739572,1.076708,-0.001360,0.004334,0.982748606,0.881491143,1.095638,-0.000635,0.004950,0.995883875,0.935025255,1.060704
Age 0-10 Male,0.010443,0.036180,1.01049791,0.941322874,1.084756,-0.151391,0.319851,0.9849749,0.925121725,1.048700,0.003429,0.004246,1.044869536,0.939288392,1.162319,0.001115,0.004657,1.007272262,0.949245398,1.068846
Age 11-60 All,0.002046,0.006173,1.002048276,0.989997913,1.014245,0.089860,0.054688,1.009026459,0.998268634,1.019900,-0.001284,0.000731,0.983693772,0.965815076,1.001903,0.000385,0.000777,1.002505859,0.992627717,1.012482
Age 11-60 Female,0.011211,0.007841,1.011274477,0.99585247,1.026935,0.108015,0.069308,1.010860077,0.997220972,1.024686,-0.000283,0.000933,0.996386046,0.973329408,1.019989,0.001298,0.000985,1.008473257,0.995894214,1.021211
Age 11-60 Male,-0.012835,0.009726,0.98724719,0.968604945,1.006248,0.059133,0.086568,1.005930812,0.989006841,1.023144,-0.002862,0.001144,0.964034696,0.936757111,0.992107,-0.001129,0.001229,0.992687774,0.977261384,1.008358
Age 60+All,-0.002084,0.009118,0.997918308,0.980241793,1.015914,0.054106,0.080143,1.005425267,0.989755404,1.021343,-0.002091,0.001090,0.973589493,0.947326046,1.000581,-0.000798,0.001147,0.994829127,0.98040055,1.009470
Age 60+ Female,-0.005190,0.011992,0.994823311,0.971712461,1.018484,0.090068,0.104707,1.009047436,0.988550166,1.029970,-0.003772,0.001442,0.952866252,0.919009329,0.987970,-0.000970,0.001507,0.993713926,0.974821591,1.012972
Age 60+ Male,0.001859,0.013575,1.001860684,0.975555788,1.028875,0.002943,0.120394,1.000294332,0.976966386,1.024179,0.000110,0.001611,1.001404039,0.961744252,1.042699,-0.000597,0.001710,0.996124681,0.974659008,1.018063
All: LAG2,-0.012627,0.005339,0.987452234,0.977173574,0.997839,-0.020314,0.046707,0.997970686,0.988876308,1.007149,-0.002160,0.000629,0.972727019,0.957493464,0.988203,-0.000946,0.000672,0.993871078,0.985398833,1.002416
Female,-0.008844,0.006682,0.991195452,0.978299267,1.004262,0.025991,0.058299,1.002602493,0.99121141,1.014124,-0.002828,0.000791,0.964448896,0.945501286,0.983776,-0.000507,0.000840,0.996706991,0.986096449,1.007432
Male,-0.018325,0.007993,0.981841577,0.966580008,0.997344,-0.090583,0.070134,0.990982556,0.977453437,1.004699,-0.001179,0.000936,0.985023478,0.96215295,1.008438,-0.001612,0.001007,0.989579553,0.976964227,1.002358
Warm All,-0.020104,0.005040,0.980096284,0.97046186,0.989826,-0.027022,0.057446,0.997301408,0.986135437,1.008594,-0.001993,0.000582,0.974809176,0.960676298,0.989150,-0.002429,0.000717,0.984335521,0.975383813,0.993369
Warm Female,-0.018197,0.006305,0.981967303,0.969907771,0.994177,0.002462,0.071621,1.000246186,0.986303119,1.014386,-0.002075,0.000730,0.973785452,0.956117658,0.991780,-0.002292,0.000895,0.985214673,0.974039102,0.996518
Warm Male,-0.023099,0.007673,0.977166144,0.962580329,0.991973,-0.073187,0.087617,0.992707997,0.975805833,1.009903,-0.001877,0.000882,0.976266834,0.954892413,0.998120,-0.002665,0.001094,0.982827209,0.969228076,0.996617
Cold All,-0.002995,0.005751,0.997009239,0.985834512,1.008311,-0.014565,0.040155,0.998544554,0.990716568,1.006434,-0.002467,0.000702,0.968911075,0.95200228,0.986120,0.000075,0.000637,1.000485579,0.992394775,1.008642
Cold Female,0.003208,0.007188,1.003213222,0.98917852,1.017447,0.037517,0.050128,1.00375874,0.993945068,1.013669,-0.003990,0.000884,0.950211348,0.92937111,0.971519,0.000634,0.000797,1.004129171,0.993988865,1.014373
Cold Male,-0.012189,0.008499,0.987884873,0.971564944,1.004479,-0.092749,0.059454,0.990768019,0.979289714,1.002381,-0.000256,0.001026,0.996727494,0.971401331,1.022714,-0.000757,0.000942,0.995090403,0.983221078,1.007103
Age 0-10 All,0.032336,0.028147,1.032864159,0.977425328,1.091447,0.086185,0.250828,1.008655735,0.960267186,1.059483,0.001807,0.003312,1.023400211,0.941797192,1.112074,0.004901,0.003565,1.03237243,0.986529909,1.080345
Age 0-10 Female,-0.050563,0.039044,0.950693814,0.880655222,1.026303,-0.240758,0.358080,0.976211739,0.910046656,1.047187,0.001910,0.004474,1.024746378,0.915950554,1.146465,-0.004552,0.004967,0.97084643,0.911319766,1.034261
Age 0-10 Male,0.099472,0.035922,1.104587754,1.029492255,1.185161,0.318158,0.312668,1.032327333,0.970962871,1.097570,0.001659,0.004317,1.021463893,0.916616918,1.138304,0.012579,0.004541,1.085197578,1.024192405,1.149836
Age 11-60 All,-0.016938,0.006208,0.983204417,0.97131436,0.995240,-0.032321,0.054330,0.996773142,0.986215143,1.007444,-0.001865,0.000730,0.976416839,0.958690585,0.994471,-0.001202,0.000782,0.992217451,0.982380031,1.002153
Age 11-60 Female,-0.007549,0.007882,0.992479059,0.977264498,1.007930,0.030486,0.068882,1.003053249,0.989602255,1.016687,-0.002080,0.000932,0.973733095,0.951224409,0.996774,-0.000411,0.000992,0.997334256,0.984806949,1.010021
Age 11-60 Male,-0.032323,0.009790,0.968193741,0.94979267,0.986951,-0.135365,0.085793,0.986554734,0.970104025,1.003284,-0.001522,0.001142,0.980706287,0.953008427,1.009209,-0.002514,0.001234,0.98379225,0.968443343,0.999384
Age 60+All,-0.007470,0.009152,0.992558002,0.974912119,1.010523,-0.003437,0.079846,0.999656352,0.984133602,1.015424,-0.003179,0.001085,0.960123924,0.934333653,0.986626,-0.000931,0.001149,0.993967122,0.979524275,1.008623
Age 60+ Female,-0.008783,0.012022,0.991255305,0.968171678,1.014889,0.032678,0.104121,1.003273155,0.983006243,1.023958,-0.004972,0.001433,0.938339408,0.905194789,0.972698,-0.000452,0.001505,0.997067631,0.978126248,1.016376
Age 60+ Male,-0.005785,0.013639,0.994231952,0.968005518,1.021169,-0.055896,0.120116,0.994425994,0.971287841,1.018115,-0.000809,0.001607,0.989692556,0.950584925,1.030409,-0.001582,0.001717,0.989766904,0.96834665,1.011661
All: LAG 3,-0.014748,0.005337,0.98535983,0.975105616,0.995722,-0.094911,0.046885,0.99055376,0.981492844,0.999698,-0.000459,0.000633,0.994136113,0.978470154,1.010053,-0.001330,0.000671,0.991392029,0.982949883,0.999907
Female,-0.010889,0.006683,0.989170051,0.976298618,1.002211,-0.088921,0.058602,0.9911473,0.97982803,1.002597,-0.000160,0.000795,0.997951099,0.978247853,1.018051,-0.001182,0.000840,0.992349641,0.981790586,1.003022
Male,-0.020642,0.007979,0.97956967,0.964369199,0.995010,-0.104247,0.070231,0.989629432,0.976100167,1.003346,-0.000910,0.000942,0.988417541,0.965341789,1.012045,-0.001570,0.001004,0.989847454,0.977262403,1.002595
Warm All,-0.011952,0.005047,0.988118789,0.978393151,0.997941,-0.109767,0.058245,0.989083303,0.977856091,1.000439,-0.000406,0.000587,0.994822606,0.980289086,1.009572,-0.000956,0.000714,0.993808357,0.984810456,1.002888
Warm Female,-0.014219,0.006323,0.985881642,0.97373893,0.998176,-0.159686,0.072637,0.984158231,0.970246135,0.998270,0.000212,0.000736,1.00271675,0.984373984,1.021401,-0.001253,0.000892,0.991890391,0.980676771,1.003232
Warm Male,-0.008752,0.007672,0.991286452,0.976492379,1.006305,-0.037112,0.089119,0.996295719,0.97904416,1.013851,-0.001330,0.000889,0.983124016,0.961435357,1.005302,-0.000542,0.001088,0.996485457,0.982763142,1.010399
Cold All,-0.015852,0.005747,0.9842728,0.973248373,0.995422,-0.077905,0.040244,0.992239786,0.984443981,1.000097,-0.000891,0.000706,0.988662582,0.971301153,1.006334,-0.001419,0.000639,0.990820844,0.982786392,0.998921
Cold Female,-0.003716,0.007178,0.996290891,0.982372735,1.010406,-0.049416,0.050319,0.995070636,0.985305055,1.004933,-0.001060,0.000887,0.986521432,0.964801885,1.008730,-0.001059,0.000799,0.993139163,0.983078429,1.003303
Cold Male,-0.034408,0.008446,0.966176847,0.950314468,0.982304,-0.121192,0.059070,0.987953926,0.976581658,0.999459,-0.000649,0.001028,0.991729892,0.966469494,1.017651,-0.001969,0.000938,0.987282497,0.975554345,0.999152
Age 0-10 All,-0.004183,0.027970,0.995825859,0.942702384,1.051943,-0.185606,0.249728,0.981610626,0.934720872,1.030853,0.000054,0.003319,1.000688381,0.920745786,1.087572,0.001047,0.003544,1.006829332,0.962383851,1.053327
Age 0-10 Female,-0.006929,0.038048,0.993095322,0.921730526,1.069986,-0.348002,0.356130,0.965798354,0.900683238,1.035621,0.003327,0.004496,1.043500034,0.932199231,1.168090,-0.001475,0.004887,0.990457303,0.930670549,1.054085
Age 0-10 Male,-0.000762,0.036280,0.999238185,0.930651305,1.072880,-0.065772,0.312439,0.99344443,0.934433066,1.056182,-0.002818,0.004323,0.964577953,0.865428028,1.075087,0.003185,0.004545,1.020916697,0.96347596,1.081782
Age 11-60 All,-0.018438,0.006193,0.981731192,0.969886363,0.993721,-0.123193,0.054475,0.987756272,0.977266027,0.998359,-0.000672,0.000733,0.991437311,0.973369298,1.009841,-0.001691,0.000779,0.989068046,0.979299662,0.998934
Age 11-60 Female,-0.013994,0.007870,0.986103916,0.971009651,1.001433,-0.101802,0.068999,0.989871428,0.976574663,1.003349,-0.000348,0.000935,0.995551882,0.972480927,1.019170,-0.001286,0.000988,0.991676014,0.97926882,1.004240
Age 11-60 Male,-0.025837,0.009764,0.974493482,0.956022266,0.993322,-0.159214,0.086279,0.984204643,0.96770109,1.000990,-0.001202,0.001148,0.984730591,0.956771921,1.013506,-0.002381,0.001231,0.984644271,0.969324329,1.000206
Age 60+All,-0.007735,0.009157,0.992295197,0.974643706,1.010266,-0.025882,0.080061,0.997415141,0.981885941,1.013190,-0.000042,0.001091,0.999467495,0.972488742,1.027195,-0.000774,0.001150,0.994979583,0.980509061,1.009664
Age 60+ Female,-0.003785,0.012047,0.996222286,0.972975188,1.020025,-0.041562,0.105235,0.995852454,0.975522343,1.016606,0.000028,0.001439,1.000364159,0.964887794,1.037145,-0.000910,0.001514,0.994100254,0.975111822,1.013458
Age 60+ Male,-0.013205,0.013608,0.986881428,0.960907717,1.013557,-0.005548,0.119094,0.999445368,0.976385972,1.023049,-0.000143,0.001614,0.998175287,0.958562116,1.039425,-0.000611,0.001707,0.996037979,0.974607519,1.017940
All: LAG 4,-0.006314,0.005365,0.993706282,0.983312309,1.004210,-0.026256,0.046863,0.997377798,0.988258775,1.006581,0.000289,0.000635,1.003710749,0.987857504,1.019818,-0.000773,0.000675,0.994990023,0.986475072,1.003578
Female,0.003377,0.006704,1.00338296,0.990285594,1.016654,-0.012078,0.058278,0.998792915,0.987449087,1.010267,0.000655,0.000797,1.008412869,0.988462099,1.028766,0.000340,0.000841,1.002213765,0.99153763,1.013005
Male,-0.020986,0.008029,0.979232266,0.963943185,0.994764,-0.048407,0.070680,0.995170963,0.981479712,1.009053,-0.000250,0.000944,0.996800879,0.973476251,1.020684,-0.002477,0.001014,0.984025791,0.971394658,0.996821
Warm All,0.008652,0.005034,1.008689186,0.998784975,1.018692,0.091630,0.057901,1.009205112,0.997816888,1.020723,0.000266,0.000590,1.003416598,0.988661483,1.018392,0.000987,0.000709,1.006434576,0.997386358,1.015565
Warm Female,0.017672,0.006289,1.017829186,1.005360543,1.030452,0.096677,0.072158,1.009714584,0.995534748,1.024096,0.000951,0.000740,1.01224629,0.993618309,1.031224,0.001866,0.000882,1.012204566,1.000897985,1.023639
Warm Male,-0.004766,0.007684,0.995244988,0.98036883,1.010347,0.084802,0.088763,1.008516252,0.991122221,1.026216,-0.000746,0.000896,0.990502282,0.9684757,1.013030,-0.000352,0.001089,0.99771548,0.98396548,1.011658
Cold All,-0.022200,0.005801,0.978044297,0.96698756,0.989227,-0.085345,0.040264,0.991501815,0.983708024,0.999357,0.000406,0.000702,1.005215739,0.987655374,1.023088,-0.002031,0.000645,0.986882485,0.978801467,0.995030
Cold Female,-0.011465,0.007262,0.988600812,0.97462974,1.002772,-0.067005,0.050103,0.993321919,0.983615033,1.003125,0.000294,0.000884,1.003773116,0.981754599,1.026285,-0.000849,0.000806,0.994494045,0.984328195,1.004765
Cold Male,-0.038699,0.008534,0.962039941,0.946082724,0.978266,-0.114265,0.059696,0.988638513,0.977138377,1.000274,0.000570,0.001023,1.00732237,0.981795542,1.033513,-0.003856,0.000951,0.975247767,0.963500714,0.987138
Age 0-10 All,-0.037374,0.028207,0.963315354,0.911503579,1.018072,-0.378973,0.249358,0.962811865,0.916886691,1.011037,-0.001036,0.003270,0.986828063,0.909100984,1.071201,-0.004237,0.003610,0.972837849,0.929103159,1.018631
Age 0-10 Female,-0.047350,0.038361,0.953753955,0.884673924,1.028228,-0.652777,0.352482,0.936807293,0.874271716,1.003816,-0.004083,0.004407,0.949079091,0.84974124,1.060030,-0.007853,0.004964,0.950234933,0.892002501,1.012269
Age 0-10 Male,-0.028781,0.036622,0.97162949,0.904330402,1.043937,-0.180617,0.314164,0.982100455,0.923450774,1.044475,0.001758,0.004278,1.022751192,0.918664232,1.138631,-0.001245,0.004648,0.991942361,0.934914434,1.052449
Age 11-60 All,-0.005847,0.006227,0.994169985,0.982109197,1.006379,-0.026546,0.054537,0.997348969,0.986744924,1.008067,0.000348,0.000736,1.004466327,0.986096408,1.023178,-0.000435,0.000782,0.997178266,0.987297207,1.007158
Age 11-60 Female,-0.000379,0.007901,0.999621487,0.98426145,1.015221,-0.050984,0.068754,0.994914607,0.9815973,1.008413,0.000930,0.000937,1.011976806,0.988458308,1.036055,0.000369,0.000988,1.002400983,0.989857367,1.015104
Age 11-60 Male,-0.014851,0.009817,0.985259088,0.966483452,1.004399,0.014607,0.086880,1.001461727,0.984552655,1.018661,-0.000586,0.001152,0.992522265,0.964252864,1.021620,-0.001775,0.001239,0.988531873,0.973055154,1.004255
Age 60+All,-0.004286,0.009196,0.995723403,0.977936534,1.013834,0.008452,0.079793,1.000845543,0.985314588,1.016621,0.000289,0.001093,1.003700562,0.976560589,1.031595,-0.001193,0.001159,0.992275482,0.97772934,1.007038
Age 60+ Female,0.016241,0.012049,1.016373328,0.992651023,1.040663,0.123216,0.104120,1.012397854,0.991946693,1.033271,0.000387,0.001441,1.004967483,0.969288274,1.041960,0.000898,0.001516,1.005852078,0.986611517,1.025468
Age 60+ Male,-0.032022,0.013724,0.96848512,0.942781187,0.994890,-0.149170,0.119824,0.985193678,0.962325419,1.008605,0.000161,0.001618,1.002064472,0.962212134,1.043567,-0.004026,0.001736,0.974173474,0.952870027,0.995953
All: LAG 5,-0.001396,0.005362,0.998604491,0.98816545,1.009154,0.017015,0.046881,1.001702994,0.992540866,1.010950,0.000770,0.000634,1.009905033,0.993975963,1.026089,-0.000036,0.000671,0.99976584,0.991251469,1.008353
Female,0.000862,0.006702,1.00086278,0.987802342,1.014096,-0.009897,0.058452,0.99901077,0.987630839,1.010522,0.001050,0.000794,1.01353252,0.993540483,1.033927,0.000420,0.000838,1.00273562,0.992089905,1.013496
Male,-0.004838,0.008022,0.995174074,0.979650074,1.010944,0.057958,0.070402,1.005812619,0.992028961,1.019788,0.000352,0.000945,1.0045148,0.980987474,1.028606,-0.000737,0.001007,0.99522402,0.982540101,1.008072
Warm All,0.007690,0.005022,1.007719393,0.997848973,1.017687,0.094306,0.057352,1.00947519,0.99819122,1.020887,0.000613,0.000590,1.007875717,0.993067538,1.022905,0.001354,0.000704,1.00884189,0.999829699,1.017935
Warm Female,0.008943,0.006265,1.008983425,0.996668519,1.021450,0.023554,0.071438,1.002358223,0.988421189,1.016492,0.001296,0.000738,1.016728914,0.998083758,1.035722,0.001620,0.000876,1.010585086,0.999370665,1.021925
Warm Male,0.005724,0.007656,1.00573993,0.99076125,1.020945,0.201289,0.087609,1.020332866,1.002961872,1.038005,-0.000410,0.000896,0.994766955,0.972657371,1.017379,0.000934,0.001079,1.006086876,0.992346563,1.020017
Cold All,-0.011147,0.005821,0.988915121,0.977695762,1.000263,-0.020295,0.040468,0.9979726,0.990088189,1.005920,0.001015,0.000704,1.013070571,0.995333221,1.031124,-0.001180,0.000642,0.992360852,0.984276599,1.000512
Cold Female,-0.007181,0.007296,0.992844925,0.978748668,1.007144,-0.024939,0.050519,0.997509166,0.987680787,1.007435,0.000719,0.000885,1.009239859,0.987089758,1.031887,-0.000604,0.000804,0.996082805,0.985927459,1.006343
Cold Male,-0.017129,0.008562,0.983016694,0.966658754,0.999651,-0.012939,0.059838,0.998706917,0.987062273,1.010489,0.001453,0.001031,1.018766951,0.992746754,1.045469,-0.002056,0.000945,0.986726099,0.974921169,0.998674
Age 0-10 All,0.026735,0.028264,1.027095823,0.971745417,1.085599,0.221776,0.248335,1.0224253,0.973851756,1.073422,0.002060,0.003266,1.026722812,0.945953916,1.114388,0.000671,0.003549,1.004368887,0.959962734,1.050829
Age 0-10 Female,0.023980,0.038403,1.024270109,0.950003333,1.104343,-0.190227,0.349628,0.98115705,0.916173219,1.050750,0.006256,0.004419,1.083376743,0.969678721,1.210406,-0.001949,0.004841,0.987413301,0.92835713,1.050226
Age 0-10 Male,0.029907,0.036709,1.030358809,0.958828935,1.107225,0.532048,0.313910,1.054645623,0.991713005,1.121572,-0.001393,0.004253,0.982329293,0.882908745,1.092945,0.002970,0.004596,1.019490486,0.961512705,1.080964
Age 11-60 All,-0.007275,0.006219,0.992751119,0.980722747,1.004927,-0.059292,0.054607,0.994088328,0.98350541,1.004785,0.001369,0.000734,1.017673815,0.999114678,1.036578,-0.000341,0.000779,0.997783875,0.987935736,1.007730
Age 11-60 Female,-0.008942,0.007895,0.991098032,0.97588009,1.006553,-0.104829,0.069072,0.989571901,0.976265296,1.003060,0.001714,0.000935,1.022184511,0.998491441,1.046440,-0.000417,0.000987,0.997294748,0.984835393,1.009912
