Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,-0.003864,0.006363,0.99614383,0.983798493,1.008644,0.07248,0.058078,1.007274341,0.995873258,1.018806,-0.001869,0.000742,0.976357703,0.958361966,0.994691,-0.001245,0.00081,0.991941694,0.981756919,1.002232
Female,-0.000592,0.007841,0.999407876,0.984165238,1.014887,0.089298,0.071403,1.008969769,0.994947632,1.02319,-0.001133,0.000916,0.985600128,0.963201847,1.008519,-0.001062,0.000996,0.99312305,0.980598186,1.005808
Male,-0.008997,0.01007,0.991043497,0.971673923,1.010799,0.045973,0.092186,1.004607845,0.986619224,1.022924,-0.003041,0.00117,0.961818936,0.933995646,0.990471,-0.001551,0.001287,0.989971233,0.973868833,1.00634
Warm All,-0.002119,0.006095,0.997883254,0.98603389,1.009875,0.113406,0.075745,1.011405186,0.996500771,1.026533,-0.001639,0.000691,0.979236525,0.96240843,0.996359,-0.001769,0.000878,0.988568846,0.977570132,0.999691
Warm Female,0.004001,0.007438,1.004009515,0.989479076,1.018753,0.145274,0.092415,1.014633395,0.996420442,1.033179,-0.000465,0.000846,0.994068458,0.973187746,1.015397,-0.000709,0.001065,0.995401212,0.981980839,1.009005
Warm Male,-0.01216,0.009502,0.987913618,0.969685481,1.006484,0.062161,0.118118,1.006235468,0.983207564,1.029803,-0.003513,0.001072,0.956023583,0.930647279,0.982092,-0.003571,0.001384,0.977053211,0.959981523,0.994428
Cold All,-0.005813,0.006748,0.994203923,0.981141148,1.007441,0.055026,0.048145,1.005517796,0.996073841,1.015051,-0.002532,0.000823,0.968114739,0.948334309,0.988308,-0.000975,0.000755,0.993680658,0.984174013,1.003279
Cold Female,-0.00495,0.008429,0.995062475,0.978758175,1.011638,0.063798,0.059776,1.00640018,0.994677934,1.018261,-0.002194,0.001028,0.972304568,0.947547699,0.997708,-0.001374,0.000943,0.991107851,0.979277234,1.003081
Cold Male,-0.006773,0.010828,0.993250228,0.972391996,1.014556,0.043197,0.077828,1.00432907,0.989124952,1.019767,-0.003091,0.001322,0.961206608,0.929857241,0.993613,-0.000325,0.001211,0.997886856,0.982610921,1.0134
